
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
       EqualConv2d-1           [1, 3, 512, 512]              81
    FusedLeakyReLU-2           [1, 3, 512, 512]               3
              Blur-3           [1, 3, 513, 513]               0
       EqualConv2d-4         [1, 128, 256, 256]           3,456
    FusedLeakyReLU-5         [1, 128, 256, 256]             128
              Blur-6           [1, 3, 511, 511]               0
       EqualConv2d-7         [1, 128, 256, 256]             384
          ResBlock-8         [1, 128, 256, 256]               0
       EqualConv2d-9         [1, 128, 256, 256]         147,456
   FusedLeakyReLU-10         [1, 128, 256, 256]             128
             Blur-11         [1, 128, 257, 257]               0
      EqualConv2d-12         [1, 256, 128, 128]         294,912
   FusedLeakyReLU-13         [1, 256, 128, 128]             256
             Blur-14         [1, 128, 255, 255]               0
      EqualConv2d-15         [1, 256, 128, 128]          32,768
         ResBlock-16         [1, 256, 128, 128]               0
      EqualConv2d-17         [1, 256, 128, 128]         589,824
   FusedLeakyReLU-18         [1, 256, 128, 128]             256
             Blur-19         [1, 256, 129, 129]               0
      EqualConv2d-20           [1, 512, 64, 64]       1,179,648
   FusedLeakyReLU-21           [1, 512, 64, 64]             512
             Blur-22         [1, 256, 127, 127]               0
      EqualConv2d-23           [1, 512, 64, 64]         131,072
         ResBlock-24           [1, 512, 64, 64]               0
      BatchNorm2d-25           [1, 512, 64, 64]           1,024
AdaptiveAvgPool2d-26             [1, 512, 7, 7]               0
          Flatten-27                 [1, 25088]               0
           Linear-28                   [1, 512]      12,845,568
           EBlock-29                   [1, 512]               0
================================================================



baseEncoder -v2----------------------------------------------------------------------------------------------------------------------------------------------

----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1          [1, 64, 512, 512]           1,728
       BatchNorm2d-2          [1, 64, 512, 512]             128
             PReLU-3          [1, 64, 512, 512]              64
         MaxPool2d-4          [1, 64, 256, 256]               0
       BatchNorm2d-5          [1, 64, 512, 512]             128
            Conv2d-6          [1, 64, 512, 512]          36,864
             PReLU-7          [1, 64, 512, 512]              64
            Conv2d-8          [1, 64, 256, 256]          36,864
       BatchNorm2d-9          [1, 64, 256, 256]             128
    bottleneck_IR-10          [1, 64, 256, 256]               0
        MaxPool2d-11          [1, 64, 256, 256]               0
      BatchNorm2d-12          [1, 64, 256, 256]             128
           Conv2d-13          [1, 64, 256, 256]          36,864
            PReLU-14          [1, 64, 256, 256]              64
           Conv2d-15          [1, 64, 256, 256]          36,864
      BatchNorm2d-16          [1, 64, 256, 256]             128
    bottleneck_IR-17          [1, 64, 256, 256]               0
        MaxPool2d-18          [1, 64, 256, 256]               0
      BatchNorm2d-19          [1, 64, 256, 256]             128
           Conv2d-20          [1, 64, 256, 256]          36,864
            PReLU-21          [1, 64, 256, 256]              64
           Conv2d-22          [1, 64, 256, 256]          36,864
      BatchNorm2d-23          [1, 64, 256, 256]             128
    bottleneck_IR-24          [1, 64, 256, 256]               0
           Conv2d-25         [1, 128, 128, 128]           8,192
      BatchNorm2d-26         [1, 128, 128, 128]             256
      BatchNorm2d-27          [1, 64, 256, 256]             128
           Conv2d-28         [1, 128, 256, 256]          73,728
            PReLU-29         [1, 128, 256, 256]             128
           Conv2d-30         [1, 128, 128, 128]         147,456
      BatchNorm2d-31         [1, 128, 128, 128]             256
    bottleneck_IR-32         [1, 128, 128, 128]               0
        MaxPool2d-33         [1, 128, 128, 128]               0
      BatchNorm2d-34         [1, 128, 128, 128]             256
           Conv2d-35         [1, 128, 128, 128]         147,456
            PReLU-36         [1, 128, 128, 128]             128
           Conv2d-37         [1, 128, 128, 128]         147,456
      BatchNorm2d-38         [1, 128, 128, 128]             256
    bottleneck_IR-39         [1, 128, 128, 128]               0
